"comp1","comp2","metabolite"
-0.252936716307735,0,"HILp_QI22835"
-0.252850103879852,0,"HILp_QI20437"
-0.246134951983224,0,"HILp_QI22834"
-0.235358534808951,0,"HILp_QI22739"
-0.226651847076921,0,"HILp_QI22784"
-0.225658059617721,0,"HILp_QI22740"
-0.223592417943001,0,"HILp_QI22738"
-0.220141985208887,0,"HILp_QI21620"
-0.212532406304384,0,"HILp_QI20455"
-0.19935104399487,0,"HILp_QI21407"
-0.194081480737027,0,"HILp_QI22152"
-0.193082233738452,0,"HILp_QI22689"
-0.1900589193653,0,"HILp_QI22234"
-0.183611415611035,0,"HILp_TF20"
-0.180148911930099,0,"C8p_QI22888"
-0.173725812082496,0,"HILp_QI22151"
-0.167397283949076,0,"HILp_QI24483"
-0.141125343034023,0,"HILp_QI21468"
-0.138097774886171,0,"HILp_QI22833"
0.132753953696451,0,"HILp_QI20255"
0.131274654919097,0,"HILp_QI20096"
-0.127996407558686,0,"C8p_QI27013"
-0.125395966796787,0,"C18n_QI4015"
-0.119732108040838,0,"C18n_QI13593"
-0.119037638400763,0,"HILp_QI21470"
-0.117747518808736,0,"HILn_QI1107"
0.0918337186410615,0,"HILp_QI11297"
-0.0883972349909064,0,"C8p_QI20218"
-0.0869185960116824,0,"HILp_QI13616"
-0.0853423034825535,0,"HILp_QI22783"
0.0821771949393944,0,"HILp_QI21908"
-0.0819693036601029,0,"HILp_QI22235"
0.0811307432802405,0,"HILp_QI14161"
0.0776584985744212,0,"HILp_QI22179"
0.0742212716554982,0,"C18n_QI13819"
-0.0724916792753702,0,"C18n_QI9051"
-0.0649493589331742,0,"HILp_QI22688"
-0.056045342963643,0,"C18n_QI8539"
-0.0543736138404285,0,"HILp_QI22559"
0.041282387948321,0,"HILp_QI22455"
0.0358499322985052,0,"HILp_QI6290"
0.0356195338757596,0,"C18n_QI13770"
-0.0343072380542982,0,"HILp_QI16779"
-0.0289597146100122,0,"HILp_QI25201"
0.027220717306168,0,"HILn_QI2121"
0.0261578444278047,0,"C18n_QI13911"
-0.0169754686856452,0,"HILp_QI7598"
-0.0154057990583587,0,"C18n_QI3961"
0.0106849721684611,0,"HILp_QI22010"
0.0101699185938496,0,"HILp_QI23683"
0,-0.0398274526786973,"HILp_TF16"
0,-0.222187523300136,"HILn_QI1119"
0,-0.158539920924314,"HILn_QI1296"
0,-0.187873256929911,"HILp_QI1201"
0,-0.182911812387861,"HILn_QI999"
0,-0.043632608505913,"HILp_QI18406"
0,-0.0878781376187733,"HILp_QI9439"
0,-0.172719133698612,"C18n_QI728"
0,-0.0710891721978063,"C18n_QI201"
0,-0.00809956614008421,"HILn_QI1058"
0,-0.0408756424309571,"HILp_QI21861"
0,-0.0672585926758308,"C18n_QI5195"
0,-0.0218842320029534,"HILn_QI2407"
0,-0.0949429892697997,"HILn_QI1931"
0,-0.265676812952347,"HILn_QI1184"
0,-0.148670078047784,"HILp_QI10676"
0,-0.185189452159934,"C18n_QI8349"
0,-0.135376281059862,"HILn_QI1847"
0,-0.128595915007842,"HILp_QI10719"
0,-0.0839780753110385,"HILp_QI13141"
0,-0.126650832355764,"HILp_QI13140"
0,-0.00624422416407122,"HILp_QI9441"
0,-0.187433221420136,"C18n_QI5741"
0,-0.0159772677315393,"HILp_QI9838"
0,-0.0873841445775363,"HILp_QI13199"
0,-0.150794478129047,"HILp_QI13142"
0,-0.136221916891247,"C18n_QI7890"
0,-0.224085399995958,"C18n_QI3676"
0,-0.0392885556690659,"HILp_QI16668"
0,-0.211279032652933,"HILn_QI2110"
0,-0.158295738298184,"C18n_QI1744"
0,-0.0466272325624931,"HILp_QI13839"
0,-0.0313824701340425,"HILp_QI9316"
0,-0.101843339922373,"HILp_QI25040"
0,-0.13155091031692,"C18n_QI6575"
0,-0.200525983628243,"HILn_QI1323"
0,-0.126784259410239,"C18n_QI3061"
0,-0.17834138816284,"HILp_QI13144"
0,-0.208524317402503,"C18n_QI1037"
0,-0.113570161344286,"HILp_QI25039"
0,-0.103112429355566,"HILp_QI12706"
0,-0.0872727435316499,"HILn_QI1552"
0,-0.123479542912859,"HILp_QI4857"
0,-0.0722169332689234,"HILp_QI13561"
0,-0.0765780985784705,"HILn_QI2332"
0,-0.0919522980591386,"HILp_QI10272"
0,-0.0622579585149435,"HILp_QI12520"
0,-0.275138782927565,"HILn_QI957"
0,-0.10600269510763,"C18n_QI2510"
0,-0.291532741219693,"C18n_QI6117"
