feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
HILp_QI13141	diagnosis	UC	10.9433118288699	1.82300854745738	388	130	3.17087941539258e-08	5.9586148577915e-07
HILp_QI13845	diagnosis	UC	9.7889840069253	1.6299254603744	388	187	3.21765202320741e-08	5.9586148577915e-07
C18n_QI2510	diagnosis	UC	10.4199327680984	1.73754794689928	388	142	3.2776150717808e-08	5.95930013051055e-07
HILn_QI1931	diagnosis	UC	11.1167046188451	1.86196040713361	388	262	3.62157338014354e-08	6.46709532168489e-07
HILp_QI14988	diagnosis	UC	10.6170596200067	1.78460043982835	388	121	4.06658160863314e-08	7.01134760109162e-07
HILp_QI13563	diagnosis	UC	10.0324308140147	1.68372685527227	388	191	4.00987588642949e-08	7.01134760109162e-07
C18n_QI6244	diagnosis	UC	10.8887014192803	1.84208343236728	388	212	4.84818479407767e-08	8.21726236284351e-07
HILn_QI1484	diagnosis	UC	11.9050218926698	2.01694871995585	388	175	5.06316509638474e-08	8.30027064981105e-07
HILp_QI12520	diagnosis	UC	9.73964829321821	1.64880615843471	388	190	5.00401935184398e-08	8.30027064981105e-07
HILp_QI21861	diagnosis	UC	11.0254106410622	1.87392611319031	388	193	5.55975380617717e-08	8.96734484867286e-07
C18n_QI7175	diagnosis	UC	10.3151488471192	1.76496925039125	388	169	6.54507961713889e-08	1.02266869017795e-06
HILn_QI1552	diagnosis	UC	10.1613009692418	1.73933095832661	388	142	6.52709851096508e-08	1.02266869017795e-06
HILp_QI13846	diagnosis	UC	9.49672952402071	1.62746745848806	388	272	7.63669417280149e-08	1.17487602658484e-06
HILp_QI15496	diagnosis	UC	10.3907061412237	1.80413008342879	388	259	9.83857089188063e-08	1.49069255937585e-06
HILp_QI21301	diagnosis	UC	9.60663429510156	1.67322716573966	388	220	1.07054055697406e-07	1.59782172682695e-06
HILn_QI2110	diagnosis	UC	10.1841983036708	1.78651511928236	388	166	1.19574217353385e-07	1.75844437284389e-06
HILp_QI11502	diagnosis	UC	9.98834883445367	1.75436251556079	388	165	1.2932384828066e-07	1.8742586707342e-06
HILp_QI12781	diagnosis	UC	9.4296007797466	1.68531267488727	388	228	1.84820060328963e-07	2.64028657612805e-06
HILp_QI10272	diagnosis	UC	9.45857699402577	1.68703840795433	388	259	1.92075003867612e-07	2.70528174461425e-06
HILn_QI4812	diagnosis	UC	9.46896288780583	1.7115983708991	388	156	2.56669948310439e-07	3.56486039320054e-06
HILp_QI16416	diagnosis	UC	8.77246497627752	1.60503986044121	388	217	3.49214969942145e-07	4.78376671153623e-06
HILn_QI2407	diagnosis	UC	10.0059308041164	1.85061384635909	388	257	4.33680619807847e-07	5.86054891632226e-06
C18n_QI7890	diagnosis	UC	9.53906516695723	1.77776570883581	388	148	5.19846947364465e-07	6.9312926315262e-06
C18n_QI1615	diagnosis	UC	9.19839702851345	1.71647418893434	388	182	5.48330854530966e-07	7.21487966488113e-06
HILp_QI20983	diagnosis	UC	8.57747324285785	1.60504165979652	388	247	5.80328896382128e-07	7.53673891405362e-06
C18n_QI8686	diagnosis	UC	9.42607795111152	1.77020909356867	388	158	6.36021389181901e-07	8.15412037412694e-06
HILn_QI957	diagnosis	UC	9.3777499722717	1.76452430358658	388	138	6.49492943197369e-07	8.2214296607262e-06
HILp_QI25047	diagnosis	UC	8.97065187799856	1.71704016507917	388	222	9.28094337096643e-07	1.1601179213708e-05
HILp_QI24700	diagnosis	UC	9.24015612876908	1.77255279514575	388	210	9.79467291027987e-07	1.20921887781233e-05
HILp_QI9838	diagnosis	UC	9.19969892006037	1.76932754697151	388	207	1.11437889350441e-06	1.35899865061514e-05
HILp_QI23754	diagnosis	UC	-8.83040909945002	1.70983621684263	388	255	1.22481576613504e-06	1.47568164594584e-05
HILp_QI13201	diagnosis	UC	9.74190802717363	1.89343692076018	388	194	1.34989524293846e-06	1.60701814635531e-05
HILn_QI1737	diagnosis	UC	8.52644163868177	1.66392822840154	388	290	1.42115530811314e-06	1.67194742130957e-05
HILp_QI16779	diagnosis	UC	-8.43236654122204	1.65048045560232	388	259	1.55133601237041e-06	1.80387908415164e-05
C18n_QI8998	diagnosis	UC	8.46454850327143	1.66892825146961	388	188	1.86952130601425e-06	2.14887506438419e-05
C18n_QI8685	diagnosis	UC	9.80689095658634	1.9423538298873	388	170	2.04663415974532e-06	2.32572063607423e-05
HILp_QI22783	diagnosis	UC	-9.10091602649322	1.8165609752822	388	272	2.29682200890206e-06	2.5806988864068e-05
HILn_QI10169	diagnosis	UC	8.56934456860791	1.71105317667413	388	185	2.36792631244981e-06	2.63102923605534e-05
HILp_QI16119	diagnosis	UC	7.94267815578104	1.60117334419422	388	196	2.84270538903879e-06	3.12385207586681e-05
HILp_QI17840	diagnosis	UC	7.81774259707653	1.63302475329953	388	208	5.92655108629365e-06	6.44190335466702e-05
HILp_QI16121	diagnosis	UC	7.91069029401873	1.6671816417493	388	211	6.96767518510921e-06	7.49212385495614e-05
HILp_QI22834	diagnosis	UC	-8.73647223392807	1.86047373627355	388	159	8.33439522156411e-06	8.86637789528097e-05
HILp_QI25047	diagnosis	CD	7.21492395859387	1.539759202853	388	222	8.91529576494834e-06	9.32338776630984e-05
HILp_QI17840	diagnosis	CD	6.87056367988651	1.46400976828489	388	208	8.95045225565744e-06	9.32338776630984e-05
HILp_QI24700	diagnosis	CD	7.39413031264035	1.5919245368317	388	210	1.04885786610097e-05	0.000108129676917626
HILn_QI1107	diagnosis	UC	-8.5634619004515	1.85034364608583	388	168	1.07960286528997e-05	0.00011016355768265
HILp_QI16121	diagnosis	CD	6.91109977690419	1.49731348386806	388	211	1.19948885853546e-05	0.000121160490761157
HILp_QI11151	diagnosis	UC	8.12093474863773	1.76687153324429	388	255	1.27513580888487e-05	0.000127374109187668
HILp_QI22235	diagnosis	UC	-7.97164414613727	1.7389572070474	388	311	1.28647850279545e-05	0.000127374109187668
HILn_QI10465	diagnosis	UC	-7.73307624013044	1.68859435328086	388	235	1.37369460625023e-05	0.000134675941789238
HILp_QI22834	diagnosis	CD	-7.55289289335063	1.67689197455193	388	159	1.81039599663121e-05	0.00017576660161468
HILp_QI9317	diagnosis	UC	7.99218543565149	1.77927044496945	388	273	1.92205155962413e-05	0.000184812649963859
C18n_QI6575	diagnosis	CD	6.38665201812108	1.42577441717628	388	203	2.04649320667536e-05	0.000194904114921463
C18n_QI3061	diagnosis	CD	6.54581455791837	1.47240381740181	388	216	2.2953708265885e-05	0.000216544417602689
HILp_QI24957	diagnosis	UC	7.64719562914634	1.72983273521463	388	246	2.4074375075276e-05	0.000224994159582019
C8p_QI21966	diagnosis	CD	-6.69464933624754	1.5398630451762	388	227	3.42787417625786e-05	0.000317395757060913
